model,arm,task,lang,press,kept,sample_id,origin,n_candidates,contains_any_exact,contains_any_near,contains_any_novel,contains_target_exact,contains_target_near,target_near_is_truncation,target_near_is_prefix,official_correct
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,9,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,10,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,11,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,12,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,13,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,14,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,15,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,17,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,18,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,19,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,21,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,22,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,23,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,29,TARGET_EXACT,1,True,False,False,True,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,30,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,33,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,34,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,35,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,38,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,40,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,42,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,44,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,49,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,50,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,51,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,52,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,53,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,55,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,57,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,59,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,60,ENTIRELY_NOVEL,4,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,63,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,64,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,66,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,67,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,68,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,70,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,74,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,75,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,76,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,77,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,79,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,81,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,84,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,85,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,86,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,88,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,89,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,90,TARGET_EXACT,1,True,False,False,True,False,False,False,1
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,91,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,92,ENTIRELY_NOVEL,1,False,False,True,False,False,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,96,TARGET_NEAR_COPY,1,False,True,False,False,True,False,False,0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,97,TARGET_NEAR_COPY,1,False,True,False,False,True,True,True,0
llama31-8b,qa,niah_none,en,none,1.0,4,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,13,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,18,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,21,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,25,DISTRACTOR_EXACT,3,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,26,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,29,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,35,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,36,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,38,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,48,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,49,DISTRACTOR_EXACT,3,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,50,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,51,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,52,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,53,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,54,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,57,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,58,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,60,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,62,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,66,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,67,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,68,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,70,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,71,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,73,DISTRACTOR_EXACT,2,True,True,False,False,False,False,False,1
llama31-8b,qa,niah_none,en,none,1.0,74,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,78,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,85,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,86,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,87,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,88,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,89,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,92,DISTRACTOR_EXACT,2,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,93,DISTRACTOR_EXACT,3,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,94,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,qa,niah_none,en,none,1.0,98,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,0
llama31-8b,joint,niah_single,zh,snapkv,0.25,0,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,1,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,2,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,3,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,4,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,5,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,6,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,7,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,8,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,9,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,10,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,11,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,12,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,13,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,14,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,15,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,16,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,17,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,18,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,19,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,20,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,21,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,22,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,23,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,24,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,25,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,26,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,27,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,28,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,29,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,30,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,31,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,32,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,33,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,34,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,35,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,36,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,37,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,38,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,39,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,40,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,41,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,42,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,43,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,44,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,45,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,46,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,47,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,48,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,49,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,50,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,51,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,52,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,53,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,55,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,56,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,57,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,58,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,59,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,60,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,61,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,62,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,63,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,64,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,65,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,66,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,67,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,68,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,69,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,70,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,71,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,72,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,73,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,74,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,75,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,76,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,77,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,78,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,79,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,80,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,81,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,82,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,83,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,84,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,85,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,86,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,87,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,88,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,89,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,90,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,91,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,92,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,93,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,94,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,96,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,97,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,98,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,joint,niah_single,zh,snapkv,0.25,99,TARGET_EXACT,1,True,False,False,True,False,False,False,1
llama31-8b,qa,niah_none,ko,none,1.0,0,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,1
llama31-8b,qa,niah_none,ko,none,1.0,1,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,1
llama31-8b,qa,niah_none,ko,none,1.0,2,DISTRACTOR_EXACT,4,True,False,False,False,False,False,False,1
llama31-8b,qa,niah_none,ko,none,1.0,3,DISTRACTOR_EXACT,3,True,False,False,False,False,False,False,0
